===== 08_APLICATIVOS_INSTALADOS =====

DisplayName                                                             DisplayVersion     Publisher                 
Python 3.11.9 Test Suite (64-bit)                                       3.11.9150.0        Python Software Foundation
Python 3.11.9 Utility Scripts (64-bit)                                  3.11.9150.0        Python Software Foundation
Python 3.13.7 (64-bit)                                                  3.13.7150.0        Python Software Foundation
Python 3.13.7 Add to Path (64-bit)                                      3.13.7150.0        Python Software Foundation
Python 3.13.7 Core Interpreter (64-bit)                                 3.13.7150.0        Python Software Foundation
Python 3.13.7 Development Libraries (64-bit)                            3.13.7150.0        Python Software Foundation
Python 3.13.7 Documentation (64-bit)                                    3.13.7150.0        Python Software Foundation
Python 3.13.7 Executables (64-bit)                                      3.13.7150.0        Python Software Foundation
Python 3.13.7 pip Bootstrap (64-bit)                                    3.13.7150.0        Python Software Foundation
Python 3.13.7 Standard Library (64-bit)                                 3.13.7150.0        Python Software Foundation
Python 3.13.7 Tcl/Tk Support (64-bit)                                   3.13.7150.0        Python Software Foundation
Python 3.13.7 Test Suite (64-bit)                                       3.13.7150.0        Python Software Foundation
Python 3.14.6 (64-bit)                                                  3.14.6150.0        Python Software Foundation
Python 3.14.6 Add to Path (64-bit)                                      3.14.6150.0        Python Software Foundation
Python 3.14.6 Core Interpreter (64-bit)                                 3.14.6150.0        Python Software Foundation
Python 3.14.6 Development Libraries (64-bit)                            3.14.6150.0        Python Software Foundation
Python 3.14.6 Documentation (64-bit)                                    3.14.6150.0        Python Software Foundation
Python 3.14.6 Executables (64-bit)                                      3.14.6150.0        Python Software Foundation
Python 3.14.6 pip Bootstrap (64-bit)                                    3.14.6150.0        Python Software Foundation
Python 3.14.6 Standard Library (64-bit)                                 3.14.6150.0        Python Software Foundation
Python 3.14.6 Tcl/Tk Support (64-bit)                                   3.14.6150.0        Python Software Foundation
Python 3.14.6 Test Suite (64-bit)                                       3.14.6150.0        Python Software Foundation
Python Launcher                                                         3.13.7150.0        Python Software Foundation
Qwen 1.0.3                                                              1.0.3              qwen.ai                   
SDK ARM64 Additions                                                     10.1.26100.8249    Microsoft Corporation     
SDK ARM64 Redistributables                                              10.1.26100.8249    Microsoft Corporation     
System Assistant                                                        0.1.4              NVIDIA Corporation        
TeraBox                                                                 1.47.0             Flextech Inc.             
Universal CRT Extension SDK                                             10.1.26100.8249    Microsoft Corporation     
Universal CRT Headers Libraries and Sources                             10.1.26100.8249    Microsoft Corporation     
Universal CRT Redistributable                                           10.1.26100.8249    Microsoft Corporation     
Universal CRT Redistributable                                           10.0.26624         Microsoft Corporation     
Universal CRT Tools x64                                                 10.1.26100.8249    Microsoft Corporation     
Universal CRT Tools x86                                                 10.1.26100.8249    Microsoft Corporation     
Universal General MIDI DLS Extension SDK                                10.1.26100.8249    Microsoft Corporation     
uTorrent Web                                                            1.6.0              BitTorrent Limited        
UXP WebView Support                                                     1.6.1              Adobe Inc.                
vcpp_crt.redist.clickonce                                               14.51.36247        Microsoft Corporation     
vs_FileTracker_Singleton                                                18.8.11829         Microsoft Corporation     
vs_githubprotocolhandlermsi                                             18.8.11829         Microsoft Corporation     
vs_vswebprotocolselectormsi                                             18.8.11829         Microsoft Corporation     
vs_vswebprotocolselectormsires                                          18.8.11829         Microsoft Corporation     
WinAppDeploy                                                            10.1.26100.8249    Microsoft Corporation     
Windows App Certification Kit Native Components                         10.1.26100.8249    Microsoft Corporation     
Windows App Certification Kit SupportedApiList x86                      10.1.26100.8249    Microsoft Corporation     
Windows App Certification Kit x64                                       10.1.26100.8249    Microsoft Corporation     
Windows App Certification Kit x64 (OnecoreUAP)                          10.1.26100.8249    Microsoft Corporation     
Windows Desktop Extension SDK                                           10.1.26100.8249    Microsoft Corporation     
Windows Desktop Extension SDK Contracts                                 10.1.26100.8249    Microsoft Corporation     
Windows IoT Extension SDK                                               10.1.26100.8249    Microsoft Corporation     
Windows IoT Extension SDK Contracts                                     10.1.26100.8249    Microsoft Corporation     
Windows Mobile Extension SDK                                            10.1.26100.8249    Microsoft Corporation     
